Model,Feature,Coefficient,Selected,Abs_Coefficient,Rank
Classical LASSO,Normalized_ATR,0.14050075413410618,True,0.14050075413410618,1
Classical LASSO,Close_to_SMA_10,-0.08790521495100305,True,0.08790521495100305,2
Classical LASSO,Volatility_20,-0.05094523348909644,True,0.05094523348909644,3
Classical LASSO,Volume_Ratio,-0.02879724834532525,True,0.02879724834532525,4
Classical LASSO,ROC_10,0.02158258230714836,True,0.02158258230714836,5
Classical LASSO,Bollinger_Position,0.017371958557010694,True,0.017371958557010694,6
Classical LASSO,Close_to_SMA_50,0.014927736969695873,True,0.014927736969695873,7
Classical LASSO,MACD_Histogram,0.009720190681886523,True,0.009720190681886523,8
Classical LASSO,ATR_14,-0.00891660640935545,True,0.00891660640935545,9
Classical LASSO,OBV_Change,-0.003107614306428877,True,0.003107614306428877,10
Classical LASSO,MACD_Signal,-0.0024507364161164727,True,0.0024507364161164727,11
Classical LASSO,Log_Return,-0.0,False,0.0,12
Classical LASSO,Daily_Return,-0.0,False,0.0,13
Classical LASSO,RSI_14,-0.0,False,0.0,14
Classical LASSO,Momentum_10,-0.0,False,0.0,15
Classical LASSO,Close_to_SMA_20,-0.0,False,0.0,16
Classical LASSO,MACD,-0.0,False,0.0,17
Classical LASSO,Close_to_EMA_20,0.0,False,0.0,18
Classical LASSO,Close_to_EMA_10,-0.0,False,0.0,19
Classical LASSO,Close_to_EMA_50,-0.0,False,0.0,20
Classical LASSO,Bollinger_Width,-0.0,False,0.0,21
