Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.253235,3.376096,2.022684,8.236451
Bollinger_Position,0.797451,6.319231,9.138888,19.660383
Bollinger_Width,0.768505,6.796731,2.523413,5.485445
Close_to_EMA_10,0.580145,4.738342,13.282493,2.383725
Close_to_EMA_20,0.662379,4.243884,19.781877,4.49773
Close_to_EMA_50,0.422548,4.611894,2.41683,4.665075
Close_to_SMA_10,0.646497,4.474679,7.628699,3.278636
Close_to_SMA_20,0.436041,6.49993,5.979535,7.137611
Close_to_SMA_50,0.465567,6.34039,4.646955,4.672971
Daily_Return,0.57252,6.767505,7.155625,2.662282
Log_Return,171.535652,15.726443,24.051914,21.727039
MACD,0.580918,9.871433,6.289163,4.047554
MACD_Histogram,1.268999,9.804063,7.482846,5.678965
MACD_Signal,0.622318,11.369652,3.259244,4.698974
Momentum_10,0.344982,17.18854,8.467698,154.334348
Normalized_ATR,0.210625,2.122536,2.22469,1.866462
OBV_Change,0.26282,5.828391,3.34864,3.377626
ROC_10,0.494857,7.671548,2.634325,13.424653
RSI_14,0.298791,12.150346,7.902788,9.738029
Volatility_20,0.382379,4.824054,2.298816,4.81657
Volume_Ratio,0.52045,4.253587,2.681936,4.142651
