Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.902644,3.680408,2.119566,28.810775
Bollinger_Position,8.951096,12.894214,43.269055,164.156699
Bollinger_Width,8.313073,14.916489,3.298886,12.779046
Close_to_EMA_10,4.737423,7.249685,91.400772,2.413165
Close_to_EMA_20,6.175636,5.815586,202.733579,8.591351
Close_to_EMA_50,2.513168,6.867918,3.026098,9.242554
Close_to_SMA_10,5.883032,6.465323,30.150304,4.565215
Close_to_SMA_20,2.676233,13.642181,18.523604,21.636173
Close_to_SMA_50,3.050928,12.980705,11.187362,9.273865
Daily_Return,4.613708,14.788481,26.526859,3.010113
Log_Return,414168.65868,79.859654,299.702239,200.482167
MACD,4.750041,31.464934,20.491626,6.957608
MACD_Histogram,22.666836,31.036921,29.008437,13.69661
MACD_Signal,5.451208,41.740796,5.503317,9.377365
Momentum_10,1.675178,95.399119,37.1468,10115.791149
Normalized_ATR,0.624436,1.45471,2.564068,1.479493
OBV_Change,0.972265,10.968916,5.80935,4.845044
ROC_10,3.44689,19.003448,3.595253,76.538656
RSI_14,1.256619,47.669844,32.355738,40.273264
Volatility_20,2.058054,7.514339,2.737783,9.852589
Volume_Ratio,3.812647,5.842208,3.726382,7.288387
