Setting,Gamma,Delta,Regime,Spearman_Rank_Correlation
gamma_0.5_delta_0.5,0.5,0.5,Recovery,1.0
gamma_0.5_delta_0.5,0.5,0.5,Bull,1.0
gamma_0.5_delta_0.5,0.5,0.5,Bear,1.0
gamma_0.5_delta_0.5,0.5,0.5,Crisis,1.0
gamma_0.5_delta_1.0,0.5,1.0,Recovery,1.0
gamma_0.5_delta_1.0,0.5,1.0,Bull,1.0
gamma_0.5_delta_1.0,0.5,1.0,Bear,1.0
gamma_0.5_delta_1.0,0.5,1.0,Crisis,1.0
gamma_0.5_delta_2.0,0.5,2.0,Recovery,1.0
gamma_0.5_delta_2.0,0.5,2.0,Bull,1.0
gamma_0.5_delta_2.0,0.5,2.0,Bear,1.0
gamma_0.5_delta_2.0,0.5,2.0,Crisis,1.0
gamma_1.0_delta_0.5,1.0,0.5,Recovery,1.0
gamma_1.0_delta_0.5,1.0,0.5,Bull,1.0
gamma_1.0_delta_0.5,1.0,0.5,Bear,1.0
gamma_1.0_delta_0.5,1.0,0.5,Crisis,1.0
gamma_1.0_delta_1.0,1.0,1.0,Recovery,1.0
gamma_1.0_delta_1.0,1.0,1.0,Bull,1.0
gamma_1.0_delta_1.0,1.0,1.0,Bear,1.0
gamma_1.0_delta_1.0,1.0,1.0,Crisis,1.0
gamma_1.0_delta_2.0,1.0,2.0,Recovery,1.0
gamma_1.0_delta_2.0,1.0,2.0,Bull,1.0
gamma_1.0_delta_2.0,1.0,2.0,Bear,1.0
gamma_1.0_delta_2.0,1.0,2.0,Crisis,1.0
gamma_2.0_delta_0.5,2.0,0.5,Recovery,1.0
gamma_2.0_delta_0.5,2.0,0.5,Bull,1.0
gamma_2.0_delta_0.5,2.0,0.5,Bear,1.0
gamma_2.0_delta_0.5,2.0,0.5,Crisis,1.0
gamma_2.0_delta_1.0,2.0,1.0,Recovery,1.0
gamma_2.0_delta_1.0,2.0,1.0,Bull,1.0
gamma_2.0_delta_1.0,2.0,1.0,Bear,1.0
gamma_2.0_delta_1.0,2.0,1.0,Crisis,1.0
gamma_2.0_delta_2.0,2.0,2.0,Recovery,1.0
gamma_2.0_delta_2.0,2.0,2.0,Bull,1.0
gamma_2.0_delta_2.0,2.0,2.0,Bear,1.0
gamma_2.0_delta_2.0,2.0,2.0,Crisis,1.0
