Setting,Gamma,Delta,Regime,Rank,Feature,Lambda
gamma_0.5_delta_0.5,0.5,0.5,Recovery,1,Normalized_ATR,0.458939
gamma_0.5_delta_0.5,0.5,0.5,Recovery,2,ATR_14,0.503225
gamma_0.5_delta_0.5,0.5,0.5,Recovery,3,OBV_Change,0.51266
gamma_0.5_delta_0.5,0.5,0.5,Recovery,4,RSI_14,0.546618
gamma_0.5_delta_0.5,0.5,0.5,Recovery,5,Momentum_10,0.587352
gamma_0.5_delta_0.5,0.5,0.5,Bull,1,Normalized_ATR,1.456893
gamma_0.5_delta_0.5,0.5,0.5,Bull,2,ATR_14,1.837416
gamma_0.5_delta_0.5,0.5,0.5,Bull,3,Close_to_EMA_20,2.060069
gamma_0.5_delta_0.5,0.5,0.5,Bull,4,Volume_Ratio,2.062423
gamma_0.5_delta_0.5,0.5,0.5,Bull,5,Close_to_SMA_10,2.115344
gamma_0.5_delta_0.5,0.5,0.5,Bear,1,ATR_14,1.422211
gamma_0.5_delta_0.5,0.5,0.5,Bear,2,Normalized_ATR,1.49154
gamma_0.5_delta_0.5,0.5,0.5,Bear,3,Volatility_20,1.516185
gamma_0.5_delta_0.5,0.5,0.5,Bear,4,Close_to_EMA_50,1.554616
gamma_0.5_delta_0.5,0.5,0.5,Bear,5,Bollinger_Width,1.588526
gamma_0.5_delta_0.5,0.5,0.5,Crisis,1,Normalized_ATR,1.366186
gamma_0.5_delta_0.5,0.5,0.5,Crisis,2,Close_to_EMA_10,1.543932
gamma_0.5_delta_0.5,0.5,0.5,Crisis,3,Daily_Return,1.63165
gamma_0.5_delta_0.5,0.5,0.5,Crisis,4,Close_to_SMA_10,1.810701
gamma_0.5_delta_0.5,0.5,0.5,Crisis,5,OBV_Change,1.837832
gamma_0.5_delta_1.0,0.5,1.0,Recovery,1,Normalized_ATR,0.508549
gamma_0.5_delta_1.0,0.5,1.0,Recovery,2,ATR_14,0.61143
gamma_0.5_delta_1.0,0.5,1.0,Recovery,3,OBV_Change,0.634572
gamma_0.5_delta_1.0,0.5,1.0,Recovery,4,RSI_14,0.721424
gamma_0.5_delta_1.0,0.5,1.0,Recovery,5,Momentum_10,0.83295
gamma_0.5_delta_1.0,0.5,1.0,Bull,1,Normalized_ATR,1.456165
gamma_0.5_delta_1.0,0.5,1.0,Bull,2,ATR_14,2.316169
gamma_0.5_delta_1.0,0.5,1.0,Bull,3,Close_to_EMA_20,2.911515
gamma_0.5_delta_1.0,0.5,1.0,Bull,4,Volume_Ratio,2.918171
gamma_0.5_delta_1.0,0.5,1.0,Bull,5,Close_to_SMA_10,3.069852
gamma_0.5_delta_1.0,0.5,1.0,Bear,1,ATR_14,1.62452
gamma_0.5_delta_1.0,0.5,1.0,Bear,2,Normalized_ATR,1.786761
gamma_0.5_delta_1.0,0.5,1.0,Bear,3,Volatility_20,1.846295
gamma_0.5_delta_1.0,0.5,1.0,Bear,4,Close_to_EMA_50,1.941079
