,Bull,Bear,Crisis,Recovery
RSI_14,55.807281,49.036131,48.202992,61.807314
MACD,1.133303,-0.270733,-2.409272,1.88907
MACD_Histogram,0.03602,-0.089645,0.149467,-0.005151
EMA_20,276.912333,253.183217,206.409249,249.86192
ATR_14,3.178019,4.299549,6.098997,2.002057
Volatility_20,0.008645,0.012385,0.024971,0.005415
Volume_Ratio,0.968693,1.07137,0.978569,1.008673
Bollinger_Width,0.055824,0.080279,0.150087,0.039799
Bollinger_Position,0.592575,0.459469,0.472072,0.695864
OBV,5173172931.57111,4730390891.743119,3014374354.901961,5436910528.703704
