Regime,Method,Feature,Importance,Normalized_Importance,Rank
Recovery,Random Forest,Normalized_ATR,0.06740523191465704,0.06740523191465703,1
Recovery,Random Forest,ATR_14,0.05953983366373877,0.05953983366373876,2
Recovery,Random Forest,Volatility_20,0.05699496043259191,0.0569949604325919,3
Recovery,Random Forest,Volume_Ratio,0.0526465502829207,0.05264655028292069,4
Recovery,Random Forest,Close_to_EMA_50,0.04856476342907446,0.048564763429074446,5
Recovery,Random Forest,Bollinger_Width,0.04834402362176033,0.04834402362176032,6
Recovery,Random Forest,Close_to_SMA_50,0.04824042313922511,0.048240423139225094,7
Recovery,Random Forest,OBV_Change,0.04797803384298745,0.04797803384298743,8
Recovery,Random Forest,Momentum_10,0.047760663996239,0.04776066399623899,9
Recovery,Random Forest,ROC_10,0.04717881346345109,0.047178813463451076,10
Recovery,Random Forest,Daily_Return,0.044821421036227764,0.04482142103622776,11
Recovery,Random Forest,MACD,0.044795889878377314,0.04479588987837731,12
Recovery,Random Forest,Close_to_SMA_20,0.04454251710149999,0.044542517101499986,13
Recovery,Random Forest,RSI_14,0.04440967933328952,0.044409679333289515,14
Recovery,Random Forest,Log_Return,0.043954205841122945,0.04395420584112294,15
Recovery,Random Forest,Close_to_SMA_10,0.043862792379053585,0.04386279237905358,16
Recovery,Random Forest,MACD_Histogram,0.04383926497312497,0.043839264973124965,17
Recovery,Random Forest,MACD_Signal,0.04335118564142714,0.043351185641427134,18
Recovery,Random Forest,Close_to_EMA_10,0.04279920374145133,0.042799203741451325,19
Recovery,Random Forest,Close_to_EMA_20,0.0410638221157481,0.04106382211574809,20
Recovery,Random Forest,Bollinger_Position,0.037906720172031644,0.03790672017203164,21
Recovery,XGBoost,Normalized_ATR,0.05772946774959564,0.05772946774959564,1
Recovery,XGBoost,Volatility_20,0.054708223789930344,0.054708223789930344,2
Recovery,XGBoost,Volume_Ratio,0.05387602001428604,0.05387602001428604,3
Recovery,XGBoost,RSI_14,0.05362429842352867,0.05362429842352867,4
Recovery,XGBoost,Close_to_EMA_10,0.052828770130872726,0.052828770130872726,5
Recovery,XGBoost,OBV_Change,0.052479006350040436,0.052479006350040436,6
Recovery,XGBoost,Close_to_SMA_20,0.0524703785777092,0.0524703785777092,7
Recovery,XGBoost,Momentum_10,0.051109980791807175,0.051109980791807175,8
Recovery,XGBoost,ATR_14,0.05092597380280495,0.05092597380280495,9
Recovery,XGBoost,Close_to_EMA_50,0.049807917326688766,0.049807917326688766,10
Recovery,XGBoost,Bollinger_Width,0.0477386973798275,0.0477386973798275,11
Recovery,XGBoost,MACD,0.04692520573735237,0.04692520573735237,12
Recovery,XGBoost,MACD_Histogram,0.04640062898397446,0.04640062898397446,13
Recovery,XGBoost,Close_to_EMA_20,0.04617736488580704,0.04617736488580704,14
Recovery,XGBoost,Close_to_SMA_50,0.045392103493213654,0.045392103493213654,15
Recovery,XGBoost,Daily_Return,0.04502594470977783,0.04502594470977783,16
Recovery,XGBoost,Bollinger_Position,0.04341880977153778,0.04341880977153778,17
Recovery,XGBoost,MACD_Signal,0.04287763684988022,0.04287763684988022,18
Recovery,XGBoost,ROC_10,0.040546316653490067,0.040546316653490067,19
Recovery,XGBoost,Close_to_SMA_10,0.03669377416372299,0.03669377416372299,20
Recovery,XGBoost,Log_Return,0.02924342267215252,0.02924342267215252,21
Recovery,SHAP,Normalized_ATR,0.0010408909292891622,0.09068741649389267,1
Recovery,SHAP,OBV_Change,0.0010192346526309848,0.08880061656236649,2
Recovery,SHAP,ATR_14,0.0009509248775430024,0.08284914493560791,3
Recovery,SHAP,RSI_14,0.0008989196503534913,0.07831819355487823,4
Recovery,SHAP,Momentum_10,0.0007444093935191631,0.06485652178525925,5
Recovery,SHAP,ROC_10,0.0005884446436539292,0.05126812309026718,6
Recovery,SHAP,Close_to_EMA_50,0.0005780562059953809,0.05036303400993347,7
Recovery,SHAP,Close_to_SMA_20,0.0005699823959730566,0.0496596023440361,8
Recovery,SHAP,Close_to_SMA_50,0.0005617502611130476,0.04894237965345383,9
Recovery,SHAP,Close_to_SMA_10,0.000517450156621635,0.04508274048566818,10
Recovery,SHAP,Volatility_20,0.0005054448847658932,0.04403678700327873,11
Recovery,SHAP,Daily_Return,0.00047544247354380786,0.04142283275723457,12
Recovery,SHAP,MACD_Signal,0.00047177899978123605,0.04110364988446236,13
Recovery,SHAP,MACD,0.0004457717586774379,0.038837775588035583,14
Recovery,SHAP,Close_to_EMA_20,0.00042873225174844265,0.037353213876485825,15
Recovery,SHAP,Bollinger_Position,0.00041394017171114683,0.03606445714831352,16
Recovery,SHAP,Close_to_EMA_10,0.00040167017141357064,0.0349954329431057,17
Recovery,SHAP,Volume_Ratio,0.00034055739524774253,0.029670994728803635,18
Recovery,SHAP,Bollinger_Width,0.0002598342252895236,0.022638006135821342,19
