Case,Samples_Per_Regime,Model,Regime,Feature,Selected_Count,Total_Replications,Selection_Frequency
Strong,5000,Classical LASSO,All,ATR_14,10,10,1.0
Strong,5000,Classical LASSO,All,Bollinger_Width,10,10,1.0
Strong,5000,Classical LASSO,All,Close_to_EMA_20,10,10,1.0
Strong,5000,Classical LASSO,All,Daily_Return,10,10,1.0
Strong,5000,Classical LASSO,All,MACD,10,10,1.0
Strong,5000,Classical LASSO,All,MACD_Histogram,10,10,1.0
Strong,5000,Classical LASSO,All,Momentum_10,10,10,1.0
Strong,5000,Classical LASSO,All,Normalized_ATR,10,10,1.0
Strong,5000,Classical LASSO,All,OBV_Change,10,10,1.0
Strong,5000,Classical LASSO,All,RSI_14,10,10,1.0
Strong,5000,Classical LASSO,All,Volatility_20,10,10,1.0
Strong,5000,Classical LASSO,All,Volume_Ratio,10,10,1.0
Strong,5000,Classical LASSO,All,MACD_Signal,1,10,0.1
Strong,5000,Classical LASSO,All,ROC_10,1,10,0.1
Strong,5000,Proposed Prior,Bear,ATR_14,10,10,1.0
Strong,5000,Proposed Prior,Bear,Bollinger_Width,10,10,1.0
Strong,5000,Proposed Prior,Bear,Volatility_20,10,10,1.0
Strong,5000,Proposed Prior,Bear,Close_to_EMA_10,1,10,0.1
Strong,5000,Proposed Prior,Bull,Close_to_EMA_20,10,10,1.0
Strong,5000,Proposed Prior,Bull,MACD,10,10,1.0
Strong,5000,Proposed Prior,Bull,Volume_Ratio,10,10,1.0
Strong,5000,Proposed Prior,Crisis,Daily_Return,10,10,1.0
Strong,5000,Proposed Prior,Crisis,MACD_Histogram,10,10,1.0
Strong,5000,Proposed Prior,Crisis,Normalized_ATR,10,10,1.0
Strong,5000,Proposed Prior,Recovery,Momentum_10,10,10,1.0
Strong,5000,Proposed Prior,Recovery,OBV_Change,10,10,1.0
Strong,5000,Proposed Prior,Recovery,RSI_14,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,ATR_14,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,Bollinger_Width,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,Close_to_EMA_20,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,Daily_Return,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,MACD,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,MACD_Histogram,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,Momentum_10,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,Normalized_ATR,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,OBV_Change,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,RSI_14,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,Volatility_20,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,Volume_Ratio,10,10,1.0
Strong,5000,Standard Bayesian LASSO,All,MACD_Signal,2,10,0.2
Strong,5000,Standard Bayesian LASSO,All,ROC_10,2,10,0.2
Strong,5000,Standard Bayesian LASSO,All,Bollinger_Position,1,10,0.1
Strong,5000,Standard Bayesian LASSO,All,Close_to_EMA_10,1,10,0.1
Strong,5000,Standard Bayesian LASSO,All,Close_to_SMA_20,1,10,0.1
Strong,10000,Classical LASSO,All,ATR_14,10,10,1.0
Strong,10000,Classical LASSO,All,Bollinger_Width,10,10,1.0
Strong,10000,Classical LASSO,All,Close_to_EMA_20,10,10,1.0
Strong,10000,Classical LASSO,All,Daily_Return,10,10,1.0
Strong,10000,Classical LASSO,All,MACD,10,10,1.0
Strong,10000,Classical LASSO,All,MACD_Histogram,10,10,1.0
Strong,10000,Classical LASSO,All,Momentum_10,10,10,1.0
Strong,10000,Classical LASSO,All,Normalized_ATR,10,10,1.0
Strong,10000,Classical LASSO,All,OBV_Change,10,10,1.0
Strong,10000,Classical LASSO,All,RSI_14,10,10,1.0
Strong,10000,Classical LASSO,All,Volatility_20,10,10,1.0
Strong,10000,Classical LASSO,All,Volume_Ratio,10,10,1.0
Strong,10000,Classical LASSO,All,Close_to_EMA_10,1,10,0.1
Strong,10000,Classical LASSO,All,Close_to_SMA_50,1,10,0.1
Strong,10000,Classical LASSO,All,Log_Return,1,10,0.1
Strong,10000,Classical LASSO,All,MACD_Signal,1,10,0.1
Strong,10000,Classical LASSO,All,ROC_10,1,10,0.1
Strong,10000,Proposed Prior,Bear,ATR_14,10,10,1.0
Strong,10000,Proposed Prior,Bear,Bollinger_Width,10,10,1.0
Strong,10000,Proposed Prior,Bear,Volatility_20,10,10,1.0
Strong,10000,Proposed Prior,Bull,Close_to_EMA_20,10,10,1.0
Strong,10000,Proposed Prior,Bull,MACD,10,10,1.0
Strong,10000,Proposed Prior,Bull,Volume_Ratio,10,10,1.0
Strong,10000,Proposed Prior,Crisis,Daily_Return,10,10,1.0
Strong,10000,Proposed Prior,Crisis,MACD_Histogram,10,10,1.0
Strong,10000,Proposed Prior,Crisis,Normalized_ATR,10,10,1.0
Strong,10000,Proposed Prior,Recovery,Momentum_10,10,10,1.0
Strong,10000,Proposed Prior,Recovery,OBV_Change,10,10,1.0
Strong,10000,Proposed Prior,Recovery,RSI_14,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,ATR_14,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,Bollinger_Width,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,Close_to_EMA_20,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,Daily_Return,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,MACD,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,MACD_Histogram,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,Momentum_10,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,Normalized_ATR,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,OBV_Change,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,RSI_14,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,Volatility_20,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,Volume_Ratio,10,10,1.0
Strong,10000,Standard Bayesian LASSO,All,Close_to_SMA_10,2,10,0.2
Strong,10000,Standard Bayesian LASSO,All,Bollinger_Position,1,10,0.1
Strong,10000,Standard Bayesian LASSO,All,Close_to_EMA_10,1,10,0.1
Strong,10000,Standard Bayesian LASSO,All,Log_Return,1,10,0.1
Weak,5000,Classical LASSO,All,Normalized_ATR,10,10,1.0
Weak,5000,Classical LASSO,All,RSI_14,10,10,1.0
Weak,5000,Classical LASSO,All,Volatility_20,10,10,1.0
Weak,5000,Classical LASSO,All,Volume_Ratio,10,10,1.0
Weak,5000,Proposed Prior,Bear,Normalized_ATR,10,10,1.0
Weak,5000,Proposed Prior,Bear,RSI_14,10,10,1.0
Weak,5000,Proposed Prior,Bear,Volatility_20,10,10,1.0
Weak,5000,Proposed Prior,Bear,Volume_Ratio,10,10,1.0
Weak,5000,Proposed Prior,Bear,ATR_14,6,10,0.6
Weak,5000,Proposed Prior,Bull,Close_to_EMA_20,10,10,1.0
Weak,5000,Proposed Prior,Bull,Normalized_ATR,10,10,1.0
Weak,5000,Proposed Prior,Bull,RSI_14,10,10,1.0
Weak,5000,Proposed Prior,Bull,Volatility_20,10,10,1.0
Weak,5000,Proposed Prior,Bull,Volume_Ratio,10,10,1.0
Weak,5000,Proposed Prior,Crisis,Normalized_ATR,10,10,1.0
Weak,5000,Proposed Prior,Crisis,RSI_14,10,10,1.0
Weak,5000,Proposed Prior,Crisis,Volatility_20,10,10,1.0
Weak,5000,Proposed Prior,Crisis,Volume_Ratio,10,10,1.0
Weak,5000,Proposed Prior,Recovery,Momentum_10,10,10,1.0
Weak,5000,Proposed Prior,Recovery,Normalized_ATR,10,10,1.0
Weak,5000,Proposed Prior,Recovery,RSI_14,10,10,1.0
Weak,5000,Proposed Prior,Recovery,Volatility_20,10,10,1.0
Weak,5000,Proposed Prior,Recovery,Volume_Ratio,10,10,1.0
Weak,5000,Standard Bayesian LASSO,All,Normalized_ATR,10,10,1.0
Weak,5000,Standard Bayesian LASSO,All,RSI_14,10,10,1.0
Weak,5000,Standard Bayesian LASSO,All,Volatility_20,10,10,1.0
Weak,5000,Standard Bayesian LASSO,All,Volume_Ratio,10,10,1.0
Weak,10000,Classical LASSO,All,Normalized_ATR,10,10,1.0
Weak,10000,Classical LASSO,All,RSI_14,10,10,1.0
Weak,10000,Classical LASSO,All,Volatility_20,10,10,1.0
Weak,10000,Classical LASSO,All,Volume_Ratio,10,10,1.0
Weak,10000,Proposed Prior,Bear,Normalized_ATR,10,10,1.0
Weak,10000,Proposed Prior,Bear,RSI_14,10,10,1.0
Weak,10000,Proposed Prior,Bear,Volatility_20,10,10,1.0
Weak,10000,Proposed Prior,Bear,Volume_Ratio,10,10,1.0
Weak,10000,Proposed Prior,Bear,ATR_14,7,10,0.7
Weak,10000,Proposed Prior,Bull,Close_to_EMA_20,10,10,1.0
Weak,10000,Proposed Prior,Bull,Normalized_ATR,10,10,1.0
Weak,10000,Proposed Prior,Bull,RSI_14,10,10,1.0
Weak,10000,Proposed Prior,Bull,Volatility_20,10,10,1.0
Weak,10000,Proposed Prior,Bull,Volume_Ratio,10,10,1.0
Weak,10000,Proposed Prior,Crisis,Normalized_ATR,10,10,1.0
Weak,10000,Proposed Prior,Crisis,RSI_14,10,10,1.0
Weak,10000,Proposed Prior,Crisis,Volatility_20,10,10,1.0
Weak,10000,Proposed Prior,Crisis,Volume_Ratio,10,10,1.0
Weak,10000,Proposed Prior,Recovery,Momentum_10,10,10,1.0
Weak,10000,Proposed Prior,Recovery,Normalized_ATR,10,10,1.0
Weak,10000,Proposed Prior,Recovery,RSI_14,10,10,1.0
Weak,10000,Proposed Prior,Recovery,Volatility_20,10,10,1.0
Weak,10000,Proposed Prior,Recovery,Volume_Ratio,10,10,1.0
Weak,10000,Standard Bayesian LASSO,All,Normalized_ATR,10,10,1.0
Weak,10000,Standard Bayesian LASSO,All,RSI_14,10,10,1.0
Weak,10000,Standard Bayesian LASSO,All,Volatility_20,10,10,1.0
Weak,10000,Standard Bayesian LASSO,All,Volume_Ratio,10,10,1.0
