RMSE,MAE,R2,Direction_Accuracy,Model,Case,Samples_Per_Regime,Replication
1.086123,0.863666,0.22697,0.6566,Classical LASSO,Weak,5000,1
1.086922,0.864485,0.225832,0.6582,Standard Bayesian LASSO,Weak,5000,1
1.079585,0.859095,0.236248,0.6608,Proposed Prior,Weak,5000,1
1.097557,0.875689,0.23619,0.6551,Classical LASSO,Weak,10000,1
1.098443,0.875545,0.234957,0.6585,Standard Bayesian LASSO,Weak,10000,1
1.093101,0.872756,0.242379,0.6595,Proposed Prior,Weak,10000,1
1.66095,1.307695,0.058868,0.5926,Classical LASSO,Strong,5000,1
1.6606,1.306371,0.059265,0.5894,Standard Bayesian LASSO,Strong,5000,1
1.225969,0.949441,0.487261,0.7614,Proposed Prior,Strong,5000,1
1.63095,1.291,0.064147,0.5794,Classical LASSO,Strong,10000,1
1.629276,1.287792,0.066068,0.583,Standard Bayesian LASSO,Strong,10000,1
1.211147,0.9317,0.483917,0.7617,Proposed Prior,Strong,10000,1
1.073427,0.859857,0.262246,0.6668,Classical LASSO,Weak,5000,2
1.074249,0.860245,0.261115,0.667,Standard Bayesian LASSO,Weak,5000,2
1.068943,0.854635,0.268397,0.6664,Proposed Prior,Weak,5000,2
1.095123,0.870841,0.25538,0.6726,Classical LASSO,Weak,10000,2
1.094486,0.870058,0.256245,0.672,Standard Bayesian LASSO,Weak,10000,2
1.093899,0.868078,0.257042,0.6703,Proposed Prior,Weak,10000,2
1.65511,1.310249,0.059258,0.5736,Classical LASSO,Strong,5000,2
1.65543,1.310018,0.058895,0.576,Standard Bayesian LASSO,Strong,5000,2
1.199514,0.919701,0.505886,0.7644,Proposed Prior,Strong,5000,2
1.674014,1.319022,0.060314,0.5924,Classical LASSO,Strong,10000,2
1.671948,1.31943,0.062631,0.5896,Standard Bayesian LASSO,Strong,10000,2
1.227304,0.947289,0.49491,0.765,Proposed Prior,Strong,10000,2
1.100737,0.871297,0.250981,0.6648,Classical LASSO,Weak,5000,3
1.101522,0.871596,0.249911,0.6652,Standard Bayesian LASSO,Weak,5000,3
1.098618,0.871196,0.253861,0.6652,Proposed Prior,Weak,5000,3
1.090166,0.867445,0.250738,0.667,Classical LASSO,Weak,10000,3
1.08852,0.865736,0.252999,0.6675,Standard Bayesian LASSO,Weak,10000,3
1.08461,0.862834,0.258356,0.6655,Proposed Prior,Weak,10000,3
1.64624,1.294206,0.071977,0.581,Classical LASSO,Strong,5000,3
1.645721,1.294412,0.072562,0.583,Standard Bayesian LASSO,Strong,5000,3
1.230486,0.943666,0.481528,0.7556,Proposed Prior,Strong,5000,3
1.653088,1.311323,0.06123,0.5827,Classical LASSO,Strong,10000,3
1.653594,1.313261,0.060655,0.5782,Standard Bayesian LASSO,Strong,10000,3
1.208165,0.931388,0.498559,0.7701,Proposed Prior,Strong,10000,3
1.087891,0.869583,0.240606,0.6614,Classical LASSO,Weak,5000,4
1.088934,0.869811,0.239148,0.6606,Standard Bayesian LASSO,Weak,5000,4
1.085084,0.869233,0.244518,0.6576,Proposed Prior,Weak,5000,4
1.086017,0.866769,0.251702,0.6644,Classical LASSO,Weak,10000,4
1.087504,0.868498,0.249651,0.6646,Standard Bayesian LASSO,Weak,10000,4
1.081731,0.862103,0.257597,0.6694,Proposed Prior,Weak,10000,4
1.690316,1.333411,0.067564,0.5828,Classical LASSO,Strong,5000,4
1.690795,1.333278,0.067035,0.5816,Standard Bayesian LASSO,Strong,5000,4
1.231563,0.954007,0.505009,0.7614,Proposed Prior,Strong,5000,4
1.653991,1.303497,0.065245,0.5839,Classical LASSO,Strong,10000,4
1.654187,1.303419,0.065024,0.5828,Standard Bayesian LASSO,Strong,10000,4
1.213519,0.93661,0.496819,0.7513,Proposed Prior,Strong,10000,4
1.073025,0.85587,0.256705,0.6666,Classical LASSO,Weak,5000,5
1.074954,0.857505,0.254029,0.6666,Standard Bayesian LASSO,Weak,5000,5
1.071417,0.854231,0.25893,0.6652,Proposed Prior,Weak,5000,5
1.094529,0.873167,0.24375,0.6622,Classical LASSO,Weak,10000,5
1.095633,0.873304,0.242224,0.6638,Standard Bayesian LASSO,Weak,10000,5
1.091596,0.869652,0.247798,0.6641,Proposed Prior,Weak,10000,5
1.632819,1.293195,0.06983,0.5804,Classical LASSO,Strong,5000,5
1.632884,1.292059,0.069756,0.5858,Standard Bayesian LASSO,Strong,5000,5
1.200493,0.924493,0.497188,0.7644,Proposed Prior,Strong,5000,5
1.656083,1.306599,0.06856,0.586,Classical LASSO,Strong,10000,5
1.656313,1.307344,0.068301,0.5833,Standard Bayesian LASSO,Strong,10000,5
1.215775,0.940316,0.498008,0.7578,Proposed Prior,Strong,10000,5
1.08916,0.869259,0.240849,0.6578,Classical LASSO,Weak,5000,6
1.088792,0.86858,0.241362,0.661,Standard Bayesian LASSO,Weak,5000,6
1.089975,0.871629,0.239712,0.664,Proposed Prior,Weak,5000,6
1.085328,0.864131,0.246962,0.6648,Classical LASSO,Weak,10000,6
1.085568,0.864062,0.246629,0.6668,Standard Bayesian LASSO,Weak,10000,6
1.081495,0.861265,0.252272,0.667,Proposed Prior,Weak,10000,6
1.645674,1.303735,0.05052,0.5674,Classical LASSO,Strong,5000,6
1.645686,1.303334,0.050507,0.5732,Standard Bayesian LASSO,Strong,5000,6
1.209992,0.934863,0.48671,0.7556,Proposed Prior,Strong,5000,6
1.657467,1.311058,0.065551,0.5909,Classical LASSO,Strong,10000,6
1.660828,1.314666,0.061758,0.5835,Standard Bayesian LASSO,Strong,10000,6
1.227041,0.945109,0.487865,0.7582,Proposed Prior,Strong,10000,6
1.078933,0.86228,0.246073,0.6628,Classical LASSO,Weak,5000,7
1.079229,0.86222,0.245659,0.6646,Standard Bayesian LASSO,Weak,5000,7
1.074652,0.857321,0.252043,0.6698,Proposed Prior,Weak,5000,7
1.080351,0.862823,0.239222,0.6604,Classical LASSO,Weak,10000,7
1.081834,0.863856,0.237132,0.6624,Standard Bayesian LASSO,Weak,10000,7
1.074182,0.858686,0.247886,0.665,Proposed Prior,Weak,10000,7
1.644415,1.288363,0.060917,0.5884,Classical LASSO,Strong,5000,7
1.64103,1.287691,0.064779,0.5842,Standard Bayesian LASSO,Strong,5000,7
1.195426,0.918854,0.50372,0.7638,Proposed Prior,Strong,5000,7
1.643466,1.307559,0.070593,0.588,Classical LASSO,Strong,10000,7
1.643625,1.30893,0.070413,0.5873,Standard Bayesian LASSO,Strong,10000,7
1.199912,0.92617,0.504569,0.7635,Proposed Prior,Strong,10000,7
1.083251,0.870092,0.241205,0.6618,Classical LASSO,Weak,5000,8
1.0836,0.870606,0.240715,0.662,Standard Bayesian LASSO,Weak,5000,8
1.077484,0.866008,0.249262,0.6614,Proposed Prior,Weak,5000,8
1.086447,0.865496,0.247647,0.667,Classical LASSO,Weak,10000,8
1.086071,0.865069,0.248168,0.6701,Standard Bayesian LASSO,Weak,10000,8
