RMSE,MAE,R2,Direction_Accuracy,Model,Case,Samples_Per_Regime
1.105645,0.879652,0.250919,0.6666,Classical LASSO,Weak,5000
1.105568,0.879776,0.251024,0.6634,Standard Bayesian LASSO,Weak,5000
1.101878,0.877847,0.256015,0.6712,Proposed Prior,Weak,5000
1.084644,0.862394,0.259692,0.6725,Classical LASSO,Weak,10000
1.083416,0.861265,0.261368,0.6717,Standard Bayesian LASSO,Weak,10000
1.080289,0.858654,0.265625,0.6707,Proposed Prior,Weak,10000
1.63666,1.290075,0.055104,0.5842,Classical LASSO,Strong,5000
1.63545,1.289094,0.056501,0.5896,Standard Bayesian LASSO,Strong,5000
1.218026,0.933873,0.476665,0.7486,Proposed Prior,Strong,5000
1.641823,1.306507,0.066313,0.5806,Classical LASSO,Strong,10000
1.641958,1.304657,0.06616,0.582,Standard Bayesian LASSO,Strong,10000
1.210762,0.931524,0.492231,0.7639,Proposed Prior,Strong,10000
