Case,Samples_Per_Regime,Model,Regime,Feature
Weak,5000,Classical LASSO,All,Normalized_ATR
Weak,5000,Classical LASSO,All,RSI_14
Weak,5000,Classical LASSO,All,Volatility_20
Weak,5000,Classical LASSO,All,Volume_Ratio
Weak,5000,Standard Bayesian LASSO,All,Normalized_ATR
Weak,5000,Standard Bayesian LASSO,All,RSI_14
Weak,5000,Standard Bayesian LASSO,All,Volatility_20
Weak,5000,Standard Bayesian LASSO,All,Volume_Ratio
Weak,5000,Proposed Prior,Recovery,Momentum_10
Weak,5000,Proposed Prior,Recovery,Normalized_ATR
Weak,5000,Proposed Prior,Recovery,RSI_14
Weak,5000,Proposed Prior,Recovery,Volatility_20
Weak,5000,Proposed Prior,Recovery,Volume_Ratio
Weak,5000,Proposed Prior,Bull,Close_to_EMA_20
Weak,5000,Proposed Prior,Bull,Normalized_ATR
Weak,5000,Proposed Prior,Bull,RSI_14
Weak,5000,Proposed Prior,Bull,Volatility_20
Weak,5000,Proposed Prior,Bull,Volume_Ratio
Weak,5000,Proposed Prior,Bear,Normalized_ATR
Weak,5000,Proposed Prior,Bear,RSI_14
Weak,5000,Proposed Prior,Bear,Volatility_20
Weak,5000,Proposed Prior,Bear,Volume_Ratio
Weak,5000,Proposed Prior,Crisis,Normalized_ATR
Weak,5000,Proposed Prior,Crisis,RSI_14
Weak,5000,Proposed Prior,Crisis,Volatility_20
Weak,5000,Proposed Prior,Crisis,Volume_Ratio
Weak,10000,Classical LASSO,All,Normalized_ATR
Weak,10000,Classical LASSO,All,RSI_14
Weak,10000,Classical LASSO,All,Volatility_20
Weak,10000,Classical LASSO,All,Volume_Ratio
Weak,10000,Standard Bayesian LASSO,All,Normalized_ATR
Weak,10000,Standard Bayesian LASSO,All,RSI_14
Weak,10000,Standard Bayesian LASSO,All,Volatility_20
Weak,10000,Standard Bayesian LASSO,All,Volume_Ratio
Weak,10000,Proposed Prior,Recovery,Momentum_10
Weak,10000,Proposed Prior,Recovery,Normalized_ATR
Weak,10000,Proposed Prior,Recovery,RSI_14
Weak,10000,Proposed Prior,Recovery,Volatility_20
Weak,10000,Proposed Prior,Recovery,Volume_Ratio
Weak,10000,Proposed Prior,Bull,Close_to_EMA_20
Weak,10000,Proposed Prior,Bull,Normalized_ATR
Weak,10000,Proposed Prior,Bull,RSI_14
Weak,10000,Proposed Prior,Bull,Volatility_20
Weak,10000,Proposed Prior,Bull,Volume_Ratio
Weak,10000,Proposed Prior,Bear,ATR_14
Weak,10000,Proposed Prior,Bear,Normalized_ATR
Weak,10000,Proposed Prior,Bear,RSI_14
Weak,10000,Proposed Prior,Bear,Volatility_20
Weak,10000,Proposed Prior,Bear,Volume_Ratio
